"exposure" "outcome" "id.exposure" "id.outcome" "samplesize" "SNP" "b" "se" "p"
"1" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs1046896" 0.0232142857142857 0.0807142857142857 0.773644815054628
"2" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs10774625" 0.531111111111111 0.234444444444444 0.0234879700020715
"3" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs10830963" 0.0685 0.117 0.558231675387533
"4" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs11248914" 0.17 0.158571428571429 0.283687661732889
"5" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs11558471" 0.132 0.15 0.378859309553424
"6" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs11603334" 0.146666666666667 0.24 0.541126024471668
"7" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs11619319" -0.161111111111111 0.281111111111111 0.566561733690178
"8" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs11708067" 0.503846153846154 0.187692307692308 0.00726544152306233
"9" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs11964178" -0.114 0.211 0.589000942465157
"10" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs12621844" -0.249 0.216 0.249001607782638
"11" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs13134327" -0.0661538461538462 0.173076923076923 0.702296540001619
"12" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs1467311" -0.07 0.245555555555556 0.775592142677196
"13" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs1558902" -0.451 0.213 0.0342283825822445
"14" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs174577" 0.1725 0.27375 0.52860496262577
"15" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs17509001" 0.0983333333333333 0.165 0.551202218771268
"16" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs17533903" -0.00133333333333333 0.172666666666667 0.993838790491811
"17" "Glycated haemoglobin" "Risk tolerance" "kjlvIY" "MCLiHx" NA "rs17747324" -0.0566666666666667 0.166666666666667 0.733856527927944
